Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,VCH,VCD,VCA,WHH,WHD,WHA,Divergence
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Anderlecht,St Truiden,A,1.29,5.5,9.5,1.3,5.5,10.5,1.3,5.0,9.0,1.28,5.0,10.0,1.29,5.4,10.5,1.3,5.0,9.0,7.692307692307687
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Kortrijk,Club Brugge,A,4.33,3.75,1.75,4.4,3.7,1.8,4.5,3.5,1.75,4.0,3.6,1.8,4.2,3.75,1.8,4.33,3.6,1.75,6.832298136645953
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Mouscron,Gent,H,4.2,3.75,1.8,4.2,3.7,1.85,4.0,3.45,1.85,4.2,3.4,1.8,4.4,3.6,1.8,3.8,3.4,1.91,8.064516129032274
Belgium,JupilerLeague,2017-2018,B1,2017-08-25,Kortrijk,Mouscron,D,1.85,3.6,4.0,1.9,3.6,4.1,1.9,3.45,3.8,1.87,3.3,3.9,1.87,3.6,4.1,2.0,3.4,3.5,10.256410256410254
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Charleroi,Waregem,H,2.1,3.25,3.6,2.1,3.4,3.6,2.1,3.3,3.3,2.1,3.25,3.25,2.15,3.4,3.3,2.1,3.3,3.3,6.142506142506132
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Genk,Mechelen,H,1.55,4.0,6.0,1.6,4.1,5.5,1.6,3.9,5.0,1.57,3.9,5.2,1.57,4.1,5.5,1.57,3.8,5.5,10.091743119266061
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Lokeren,Eupen,H,2.15,3.4,3.3,2.2,3.3,3.4,2.1,3.3,3.3,2.15,3.3,3.1,2.15,3.5,3.2,2.05,3.5,3.25,4.859335038363167
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,St Truiden,Waasland-Beveren,H,1.73,3.6,4.75,1.78,3.5,5.0,1.75,3.5,4.5,1.75,3.5,4.4,1.75,3.6,4.6,1.8,3.5,4.2,9.289617486338786
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Club Brugge,Standard,H,1.73,3.4,5.25,1.75,3.9,4.5,1.7,3.6,4.7,1.75,3.6,4.2,1.75,3.7,4.6,1.8,3.6,4.0,15.596330275229352
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Gent,Anderlecht,D,2.63,3.3,2.6,2.75,3.2,2.7,2.6,3.2,2.6,2.65,3.25,2.5,2.75,3.3,2.55,2.62,3.3,2.5,4.854368932038855
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Oostende,Antwerp,A,1.75,3.75,4.5,1.8,3.75,4.4,1.8,3.5,4.2,1.75,3.6,4.2,1.75,3.75,4.4,1.83,3.5,4.0,6.61478599221792
Belgium,JupilerLeague,2017-2018,B1,2017-08-09,Anderlecht,Lokeren,H,1.29,5.5,10.0,1.28,5.5,11.5,1.25,5.5,10.3,1.28,5.25,10.0,1.25,6.0,10.5,1.3,5.5,8.0,20.398009950248753
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Antwerp,St Truiden,D,2.3,3.25,3.1,2.4,3.3,3.0,2.3,3.3,2.9,2.3,3.2,2.9,2.3,3.4,3.0,2.2,3.3,3.1,4.347826086956541
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Mouscron,Club Brugge,H,6.0,3.75,1.57,6.0,3.9,1.6,5.6,3.9,1.55,5.25,3.8,1.57,5.5,3.9,1.6,5.5,3.8,1.57,6.9423929098966
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Waasland-Beveren,Eupen,H,2.1,3.4,3.4,2.1,3.3,3.7,2.2,3.3,3.1,2.1,3.4,3.2,2.1,3.5,3.4,2.15,3.4,3.1,11.557788944723635
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Waregem,Kortrijk,D,1.6,3.8,5.75,1.65,4.0,5.25,1.7,3.6,4.7,1.61,3.8,4.8,1.65,3.9,5.2,1.65,3.8,4.75,13.300492610837434
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Gent,Genk,D,2.0,3.5,3.6,2.05,3.5,3.6,2.0,3.3,3.6,2.0,3.3,3.6,2.0,3.5,3.6,2.0,3.4,3.5,3.4146341463414664
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Mechelen,Oostende,D,2.45,3.2,2.88,2.5,3.3,2.85,2.4,3.3,2.75,2.35,3.4,2.7,2.38,3.6,2.75,2.38,3.6,2.62,5.882352941176472
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Standard,Charleroi,D,1.83,3.6,4.2,1.95,3.5,4.0,1.8,3.5,4.2,1.87,3.3,4.0,1.9,3.5,4.1,1.85,3.3,4.2,4.464285714285721
Belgium,JupilerLeague,2017-2018,B1,2017-09-15,Club Brugge,Mechelen,H,1.36,4.75,8.0,1.35,5.25,8.5,1.3,5.0,9.0,1.36,4.75,7.5,1.36,4.8,8.0,1.36,4.75,7.5,11.340206185566991
Belgium,JupilerLeague,2017-2018,B1,2017-09-16,Charleroi,Waasland-Beveren,D,1.62,4.0,5.25,1.62,3.9,5.75,1.55,3.9,5.6,1.61,3.75,5.0,1.62,4.0,5.2,1.57,3.8,5.5,7.120743034055721
