Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Belgium,JupilerLeague,2003-2004,B1,2003-08-29,Lierse,Standard,A,2.4,3.25,2.5,,,,,,,2.35,3.3,2.55,2.4,3.2,2.4,,,,2.6,3.3,2.3,,,,,,,2.5,3.4,2.3
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Anderlecht,Beveren,H,,,,,,,,,,1.16,5.7,11.5,1.15,6.0,12.0,,,,1.16,5.75,12.0,,,,,,,1.16,6.0,10.0
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Antwerp,Club Brugge,A,5.0,3.75,1.533,,,,,,,4.6,3.6,1.6,4.6,3.4,1.6,,,,5.5,3.6,1.53,,,,,,,5.0,3.8,1.5
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Cercle Brugge,Germinal,H,2.5,3.2,2.5,,,,,,,2.4,3.2,2.55,2.3,3.1,2.6,,,,2.5,3.2,2.5,,,,,,,2.4,3.2,2.45
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Louvieroise,Charleroi,D,1.615,3.5,4.5,,,,,,,1.65,3.45,4.5,1.6,3.4,4.6,,,,1.66,3.25,4.5,,,,,,,1.65,3.4,4.25
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,St Truiden,Westerlo,D,1.615,3.5,4.5,,,,,,,1.63,3.55,4.5,1.6,3.4,4.6,,,,1.61,3.4,5.0,,,,,,,1.55,3.65,4.6
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Bergen,Lokeren,D,2.5,3.2,2.5,,,,,,,2.45,3.2,2.5,2.3,3.2,2.5,,,,2.4,3.3,2.5,,,,,,,2.35,3.4,2.4
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Genk,Mouscron,H,1.571,3.5,5.0,,,,,,,1.53,3.7,5.1,1.65,3.3,4.4,,,,1.53,3.5,5.5,,,,,,,1.45,4.0,5.0
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Gent,Heusden Zolder,H,1.4,3.75,7.0,,,,,,,1.43,3.8,6.3,1.45,3.8,5.4,,,,1.4,4.0,6.5,,,,,,,1.4,4.25,5.3
Belgium,JupilerLeague,2003-2004,B1,2003-12-09,Heusden Zolder,St Truiden,A,2.75,3.25,2.2,,,,,,,2.8,3.2,2.2,2.8,3.3,2.1,,,,2.8,3.2,2.25,,,,,,,2.6,3.25,2.25
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Charleroi,Antwerp,A,2.2,3.25,2.75,,,,,,,2.02,3.25,3.1,2.2,3.1,2.8,,,,2.1,3.25,3.0,,,,,,,2.1,3.3,2.8
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Club Brugge,Gent,D,1.25,5.0,8.0,,,,,,,1.25,4.75,8.5,1.3,4.2,8.0,,,,1.28,4.5,8.5,,,,,,,1.28,5.0,7.0
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Germinal,Louvieroise,D,1.9,3.25,3.4,,,,,,,1.95,3.25,3.3,1.85,3.3,3.4,,,,1.9,3.25,3.5,,,,,,,1.85,3.35,3.35
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Lokeren,Anderlecht,A,4.0,3.6,1.66,,,,,,,4.35,3.4,1.67,4.0,3.5,1.65,,,,4.5,3.4,1.66,,,,,,,4.5,3.5,1.61
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Westerlo,Beveren,H,1.8,3.4,3.6,,,,,,,1.8,3.35,3.75,1.85,3.3,3.4,,,,1.8,3.4,3.75,,,,,,,1.85,3.35,3.35
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Bergen,Lierse,A,2.37,3.25,2.5,,,,,,,2.6,3.1,2.4,2.6,3.3,2.2,,,,2.5,3.3,2.4,,,,,,,2.5,3.4,2.25
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Mouscron,Cercle Brugge,H,1.57,3.5,5.0,,,,,,,1.5,3.5,6.0,1.55,3.7,4.4,,,,1.57,3.4,5.5,,,,,,,1.75,3.4,3.7
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Standard,Genk,A,1.72,3.4,4.0,,,,,,,1.75,3.4,3.85,1.65,3.5,4.0,,,,1.75,3.4,4.0,,,,,,,1.72,3.5,3.8
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Anderlecht,Westerlo,H,1.2,5.0,11.0,,,,,,,1.15,5.85,12.0,1.17,5.5,11.0,,,,1.16,5.75,12.0,,,,,,,1.14,6.0,12.0
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Beveren,Heusden Zolder,H,1.72,3.4,4.0,,,,,,,1.7,3.4,4.2,1.7,3.3,4.0,,,,1.75,3.4,4.0,,,,,,,1.75,3.35,3.75
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Cercle Brugge,Standard,H,3.6,3.4,1.8,,,,,,,3.85,3.45,1.75,3.8,3.4,1.7,,,,4.0,3.4,1.75,,,,,,,4.33,3.4,1.66
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Genk,Bergen,D,1.28,4.5,8.0,,,,,,,1.23,5.0,9.0,1.35,4.0,7.0,,,,1.25,4.75,9.5,,,,,,,1.25,5.0,7.25
