Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-09-24,Groningen,Heracles,0,0,D,2.05,3.4,3.5,,,,2.05,3.4,3.3,,,,2.1,3.4,3.05,2.05,3.5,3.5,,,,2.1,3.6,3.4,2.15,3.3,3.1
Netherlands,Eredivisie,2016-2017,N1,2016-09-25,Feyenoord,Roda,5,0,H,1.2,6.0,15.0,,,,1.22,5.75,12.0,,,,1.22,5.5,11.0,1.22,6.0,13.0,,,,1.22,6.5,13.0,1.2,6.0,11.0
Netherlands,Eredivisie,2016-2017,N1,2016-09-25,Nijmegen,Willem II,0,0,D,2.5,3.3,2.75,,,,2.3,3.4,2.85,,,,2.3,3.3,2.8,2.5,3.2,2.8,,,,2.55,3.4,2.75,2.45,3.2,2.7
Netherlands,Eredivisie,2016-2017,N1,2016-09-25,Twente,Vitesse,2,1,H,3.2,3.5,2.15,,,,3.1,3.4,2.15,,,,3.1,3.4,2.1,3.25,3.6,2.1,,,,3.3,3.7,2.1,3.1,3.75,2.0
Netherlands,Eredivisie,2016-2017,N1,2016-09-25,Utrecht,Sparta Rotterdam,2,0,H,1.8,3.6,4.33,,,,1.75,3.8,4.0,,,,1.75,3.5,4.3,1.75,3.75,4.33,,,,1.8,3.9,4.2,1.75,3.75,4.0
Netherlands,Eredivisie,2016-2017,N1,2016-09-30,Zwolle,Den Haag,2,1,H,2.3,3.4,3.0,,,,2.3,3.25,3.0,,,,2.3,3.3,2.8,2.25,3.3,3.1,,,,2.25,3.5,3.1,2.25,3.5,2.8
Netherlands,Eredivisie,2016-2017,N1,2016-01-10,Go Ahead Eagles,Excelsior,3,0,H,2.3,3.4,3.0,,,,2.25,3.3,3.0,,,,2.3,3.3,2.8,2.38,3.3,2.9,,,,2.38,3.5,2.9,2.38,3.3,2.75
Netherlands,Eredivisie,2016-2017,N1,2016-01-10,Heerenveen,PSV Eindhoven,1,1,D,4.75,4.33,1.62,,,,5.0,4.0,1.6,,,,5.0,4.0,1.55,4.5,4.2,1.67,,,,4.75,4.3,1.65,4.5,4.0,1.62
Netherlands,Eredivisie,2016-2017,N1,2016-01-10,Roda,Nijmegen,0,1,A,2.05,3.3,3.6,,,,2.1,3.4,3.25,,,,2.0,3.4,3.3,2.1,3.3,3.4,,,,2.15,3.5,3.4,2.05,3.4,3.25
Netherlands,Eredivisie,2016-2017,N1,2016-01-10,Vitesse,Groningen,2,1,H,1.62,4.33,4.75,,,,1.62,3.9,4.75,,,,1.5,4.0,5.5,1.67,4.0,4.75,,,,1.65,4.2,4.8,1.53,4.2,5.0
